transcript	gene	chr	n_exons	tx_start	tx_end	bp	mu_syn	mu_mis	mu_lof	n_syn	n_mis	n_lof	exp_syn	exp_mis	exp_lof	syn_z	mis_z	lof_z	pLI
ENST00000379290.1	TTLL10	1	13	1114595	1133227	2022	1.37846896694e-05	2.89369101214e-05	1.47118378141e-06	76	173	8	68.4932919017	135.533610888	9.60301440365	-0.562309075499556	-1.57410940693646	0.512416769630478	1.94738806982348e-05
ENST00000400930.4	UBE2J2	1	7	1190582	1203372	828	5.68734669543e-06	9.89558353716e-06	7.69625673211e-07	50	63	2	65.51712	110.2082285	9.22044741	1.18845613115396	2.19951486199932	2.35547126587633	0.415938846926224
ENST00000378785.2	ATAD3C	1	12	1386063	1403910	1236	9.0681010348e-06	1.88326199332e-05	1.11432520017e-06	86	185	9	87.6050046358	177.988828621	14.8075851688	0.106306557137913	-0.257046972164606	1.49500690038536	4.90849565539176e-05
ENST00000344843.7	MRPL20	1	4	1337462	1342597	450	2.49892210887e-06	5.50337868867e-06	7.54927694198e-07	32	71	7	27.6779336711	58.7434573046	9.94518787568	-0.50930090985761	-0.782176170261628	0.925115996292285	0.000171803357075406
ENST00000540437.1	CPSF3L	1	17	1247238	1257333	1821	1.18964825284e-05	2.43967311617e-05	2.06281354306e-06	162	208	17	121.894013705	242.063498978	25.961471675	-2.25199619709565	1.07088061645952	1.74222549203935	5.7881402380741e-09
ENST00000338370.3	AURKAIP1	1	3	1309180	1310136	600	4.24255396113e-06	9.42155881079e-06	3.30694885312e-07	50	90	4	47.4562116639	103.67813083	4.48661026736	-0.228920243384003	0.657050503544357	0.22756831613828	0.00247538764889321
ENST00000291386.3	SSU72	1	5	1477445	1509937	585	3.63550012472e-06	7.03399065339e-06	4.81253434423e-07	36	21	1	37.0651930753	71.3323378098	6.90181770573	0.108465943522094	2.91487778466166	2.22532649412775	0.606848849205337
ENST00000343938.4	GLTPD1	1	2	1262290	1263143	645	5.30665192561e-06	1.06735045257e-05	2.70031786816e-07	62	114	4	54.7555008455	109.208834583	3.58897317906	-0.606937542808549	-0.224249760524727	-0.214918972191007	0.00138279022732508
ENST00000309212.6	MXRA8	1	10	1288983	1293884	1329	1.45253017972e-05	2.59175046735e-05	1.22696813174e-06	100	132	6	110.050605271	191.690231617	13.4969791188	0.593943663944553	2.10872326362312	2.02142543065804	0.00471297228153819
ENST00000354700.5	ACAP3	1	24	1228943	1243195	2505	2.00978621409e-05	3.87243767791e-05	2.09996356903e-06	160	223	7	144.980962092	285.010266346	23.6009806191	-0.773276831517341	1.79659405119178	3.38499860704504	0.0394309302206711
ENST00000476993.1	VWA1	1	3	1371128	1375167	1338	1.38206572525e-05	2.52069639799e-05	6.502850794e-07	76	148	3	94.3888026023	175.315211299	5.92326237341	1.17339064525488	1.00904618199888	1.18980819589823	0.0331997601703093
ENST00000378755.5	ATAD3A	1	16	1447648	1469452	1905	1.50577511857e-05	3.11191258032e-05	2.15066164984e-06	94	189	7	126.562511627	266.595702711	23.6499368527	1.79438111083821	2.32448936527022	3.39146404279135	0.0401305978810457
ENST00000400809.3	CCNL2	1	11	1322610	1334686	1563	1.04478996424e-05	2.37471383579e-05	1.60255277938e-06	98	208	6	116.371285548	262.233677486	21.9866332735	1.05576298207987	1.63810396118457	3.37728185510485	0.104548195351159
ENST00000378891.5	DVL1	1	15	1271521	1284445	2013	1.68135265958e-05	3.53106960631e-05	1.54562883454e-06	211	361	5	158.703104213	323.880341913	18.8304915084	-2.57355039814113	-1.00885470984996	3.15715988578469	0.157164971605877
ENST00000379116.5	SCNN1D	1	18	1216041	1226990	2409	1.69821330563e-05	3.27698515625e-05	2.04621565961e-06	194	325	21	129.64752291	247.722711005	18.5778597186	-3.50374769785315	-2.40151619832456	-0.556661452763036	2.82187066585139e-15
ENST00000308647.7	ATAD3B	1	16	1407264	1431197	1947	1.5283796397e-05	3.1480103838e-05	2.06442291811e-06	117	246	21	132.261282433	280.332005871	23.2703654017	0.82266794763061	1.00294984289674	0.466212391638176	1.92301228016303e-13
ENST00000379031.5	PUSL1	1	8	1244023	1246759	912	8.59888863159e-06	1.6429467402e-05	7.6349519099e-07	84	140	14	64.9321339021	125.451730331	8.50266538667	-1.46697204072526	-0.63531699799897	-1.86751608443239	6.58681964674524e-12
ENST00000378546.4	C1orf86	1	4	2121147	2126188	543	4.60732856413e-06	8.9931022052e-06	3.44149847073e-07	39	72	0	43.540894	80.5771573	4.8215662	0.426620560504759	0.467362634616604	2.1751226502617	0.785170903024389
ENST00000378536.4	SKI	1	7	2160205	2238204	2187	2.19123622249e-05	3.88376518823e-05	1.24391503506e-06	165	183	0	163.607428595	285.340264531	11.8782619	-0.0674954367806441	2.96334090965824	3.4140203577549	0.981402099833324
ENST00000407249.3	CDK11B	1	21	1571125	1588935	2358	1.45045498665e-05	3.13124659466e-05	2.21481691577e-06	76	64	3	86.4654494598	189.583900745	17.1377143394	0.697727762416561	4.46117949666303	3.38292531751332	0.72829443952872
ENST00000378609.4	GNB1	1	9	1718769	1756892	1023	6.28882828764e-06	1.33100645665e-05	1.11310616569e-06	74	29	0	71.8076839898	147.619371606	15.5286128619	-0.160386552467682	4.77529775443503	3.90351618395158	0.995187833121982
ENST00000378662.1	SLC35E2B	1	8	1597220	1608138	1218	9.54904908e-06	1.61984153742e-05	8.69116908262e-07	1	2	0	27.351665997	46.8916410084	2.83012993556	3.1236737890607	3.20652184937525	1.66645229350001	0.62100245921917
ENST00000404249.3	CDK11A	1	19	1634345	1654257	2343	1.36759751016e-05	3.07173339825e-05	2.36308997854e-06	73	167	10	79.0939275993	172.058237143	19.0956636842	0.424791045564046	0.188614343947143	2.06184836706672	5.23535259576534e-05
ENST00000344463.4	NADK	1	13	1684342	1696845	1776	1.22224991474e-05	2.31889163219e-05	1.55746313457e-06	112	165	8	123.101186589	230.898609366	18.7374222911	0.620280591075702	2.12120183320573	2.45716776402628	0.00126768961404905
ENST00000288774.3	PEX10	1	6	2337204	2343941	1041	7.6965350073e-06	1.56968098931e-05	9.60689176679e-07	72	153	5	67.6508646914	139.802274741	11.2771922665	-0.327805458474842	-0.545955855900846	1.85163176900673	0.010463632475946
ENST00000307786.3	CALML6	1	6	1846719	1848632	546	3.08626031668e-06	5.86339853705e-06	4.62387791191e-07	35	69	6	31.2714159263	57.6921544557	6.225165337	-0.41335114691975	-0.728179046577083	0.0893955240021927	0.000127436926421093
ENST00000310991.3	TMEM52	1	5	1849320	1850704	630	4.43991062223e-06	8.28050374346e-06	3.88773441448e-07	38	66	1	32.7921803618	64.3582183675	4.03883287403	-0.563793780154717	-0.100098918914134	1.49785079001016	0.328693114330909
ENST00000378531.3	MORN1	1	14	2252821	2322972	1494	1.16422835401e-05	2.12662447845e-05	1.36429601217e-06	99	230	12	100.28264982	176.077140867	17.4531360785	0.0794013553572206	-1.98764243156728	1.29300217294249	7.87931445985798e-07
ENST00000378585.4	GABRD	1	9	1950862	1961721	1359	1.1657724959e-05	2.16483227e-05	9.73400098164e-07	121	117	1	114.065987691	210.361503754	12.344871177	-0.402490102864473	3.14848135536584	3.19849778178801	0.923498878454823
ENST00000378567.3	PRKCZ	1	18	1982069	2116448	1779	1.31497636013e-05	2.43061487036e-05	1.49630141199e-06	120	143	5	127.210524201	232.398550501	20.6184280542	0.396326739242949	2.86833848254021	3.40721327238675	0.266923656763182
ENST00000605895.1	RER1	1	6	2327229	2334563	591	3.25868641666e-06	6.59699293016e-06	7.04934966759e-07	46	38	0	39.436173	77.2598815	10.50163805	-0.647976699094483	2.18468311830748	3.21009774173474	0.969239732851388
ENST00000505820.2	MIB2	1	20	1550839	1565910	3213	3.02037348857e-05	5.81620530045e-05	2.7281177029e-06	278	377	11	230.979050714	440.084625425	26.3847898564	-1.91802405842773	1.47086127991624	2.96691041321535	0.000158543294053226
ENST00000246421.4	SLC35E2	1	5	1663893	1670996	801	5.73521439401e-06	1.14560863073e-05	5.88732577791e-07	6	13	1	28.8128883935	67.2568029606	4.51640154373	2.63473140244347	3.2359555615825	1.63904886275402	0.374305907762633
ENST00000270722.5	PRDM16	1	17	2985823	3350375	3831	3.15311368872e-05	5.48420582557e-05	2.46079301189e-06	311	508	2	353.425253279	611.965164966	33.514289976	1.39902525641146	2.05561165141039	5.39240115673916	0.999843194473124
ENST00000378295.4	TP73	1	13	3598929	3649643	1911	1.48542306238e-05	2.83905083956e-05	1.52904977569e-06	148	218	2	149.950974386	282.285814176	19.9959907997	0.0987715927897138	1.87148778511322	3.98652029282599	0.975977778366269
ENST00000449969.1	PLCH2	1	22	2399058	2435066	3390	2.21679870298e-05	4.70452107984e-05	2.63673069447e-06	170	305	16	154.657606971	324.056466032	24.4568675246	-0.764816190378394	0.517784832883243	1.69394302364399	1.70518647543863e-08
ENST00000378251.1	LRRC47	1	7	3697651	3713040	1752	1.40884576484e-05	2.67014292735e-05	1.02211018216e-06	95	152	2	111.583333586	217.705414903	11.2304986094	0.973241979107444	2.17812581499946	2.72844590049288	0.60383218752352
ENST00000378209.3	DFFB	1	7	3774167	3800305	1017	5.59698351681e-06	1.30159843111e-05	7.88583417882e-07	58	127	8	61.0216851195	137.369364116	11.1875146783	0.239804430695463	0.43273805005743	0.944006719921214	5.08618071063922e-05
ENST00000378404.2	ACTRT2	1	1	2938250	2939384	1134	8.12610020301e-06	1.41419881092e-05	3.78010433701e-07	88	169	3	92.4895	160.6507902	4.702033	0.289401778100339	-0.322195812161006	0.777525854263067	0.0187224605335923
ENST00000378378.4	ARHGEF16	1	14	3379648	3397151	2130	1.39958158185e-05	2.98653715698e-05	1.66751556053e-06	89	183	13	97.2606702417	197.942522777	17.1216843914	0.519273438640861	0.51948168234402	0.98671376401004	9.36505312388017e-08
ENST00000378344.2	TPRG1L	1	5	3541636	3545167	819	6.61669209153e-06	1.26487430682e-05	6.96139020016e-07	48	74	5	42.5830617957	83.2401039964	8.22874071958	-0.514618080063592	0.495366744839452	1.1149521596665	0.00284528475212618
ENST00000378453.3	HES5	1	3	2460907	2461603	501	5.70103426677e-06	9.10534522978e-06	3.65483303656e-07	12	27	0	10.912105012	25.8450198755	1.98726420271	-0.204164418921213	-0.111122624263106	1.39642455035961	0.532717161921776
ENST00000361605.3	C1orf174	1	4	3806523	3816750	732	4.11749644031e-06	8.38745331858e-06	6.53251575863e-07	37	96	4	47.0829997206	93.5346267603	8.5643241322	0.910976472044681	-0.124684469130656	1.54496839219472	0.0187425021060312
ENST00000356575.4	MEGF6	1	37	3407091	3527832	4626	3.593438005e-05	6.77264101831e-05	5.04956972739e-06	364	626	32	313.178555691	580.657332107	54.0118370617	-1.78032806883234	-0.920373077794257	2.96689040392013	4.42421031130217e-15
ENST00000419916.2	FAM213B	1	7	2518234	2520866	687	5.657897195e-06	1.06879508239e-05	4.98433614856e-07	41	58	6	42.7100443151	78.4089355077	6.61759505442	0.162214900742379	1.1273379236884	0.2378172707479	0.000166699570192146
ENST00000294600.2	CCDC27	1	12	3669045	3688087	1971	1.06336603903e-05	2.08315896012e-05	1.86817755141e-06	122	234	27	114.906084938	223.812805394	23.7771008369	-0.410263580826382	-0.33306486770793	-0.654722033338031	1.60569656764963e-19
ENST00000270708.7	WRAP73	1	12	3547538	3566563	1383	9.76026538898e-06	1.78230288264e-05	1.27225514683e-06	115	184	6	107.42478614	191.942793827	18.1426944452	-0.453097098784633	0.280416881182411	2.82392956892187	0.0269219902261615
ENST00000378230.3	CEP104	1	21	3731965	3768971	2778	1.27987381341e-05	2.94171278372e-05	2.79804115781e-06	134	322	19	144.486378461	324.164893843	38.385624519	0.540832013189434	0.0588127273614994	3.09945393767245	2.63081806867216e-08
ENST00000378412.3	MMEL1	1	23	2522428	2560923	2340	1.52248829312e-05	3.0964656287e-05	2.99141541277e-06	140	309	25	156.677342432	311.671760886	37.6979389836	0.825984936966954	0.0740238470823778	2.04863289153966	8.87673673427084e-13
ENST00000378466.3	PANK4	1	19	2440285	2458026	2322	1.8689025738e-05	3.3930253564e-05	1.85875993845e-06	190	223	4	194.883772024	352.777728676	26.5306662926	0.216879954053318	3.37960535462168	4.33300935812454	0.945333401831958
ENST00000355716.4	TNFRSF14	1	8	2488103	2494712	852	5.72102343798e-06	1.06531624082e-05	6.78737721597e-07	70	108	1	57.9876046771	107.014826426	9.74898680992	-0.977938743263546	-0.0465820855806283	2.77566932008235	0.819999054408814
ENST00000377658.4	KLHL21	1	4	6653424	6662877	1794	1.92014678036e-05	3.48261191677e-05	1.11374811915e-06	124	156	6	131.423431959	238.668665138	9.95923507507	0.401435692389059	2.61733805533073	1.24276225956202	0.00107735176759231
ENST00000377705.5	NOL9	1	12	6585913	6614562	2109	1.07965166952e-05	2.56210625786e-05	1.63392946258e-06	103	179	8	100.586298262	236.239059389	22.0965785426	-0.149198111346277	1.82151770124392	2.97057760768966	0.0044702400177699
ENST00000537245.1	PLEKHG5	1	22	6527622	6557091	3258	2.05249497843e-05	4.40795821684e-05	2.6964660495e-06	196	364	13	191.693799482	404.584800181	31.5370305699	-0.192814467906247	0.986904351564876	3.26978693053023	4.02821229083025e-05
ENST00000378083.3	KCNAB2	1	15	6111596	6158634	1248	7.53779108826e-06	1.65011369754e-05	1.23947353428e-06	55	47	2	55.6737755833	112.400258882	14.5262900494	0.055981201868186	3.01725801640076	3.2556277630413	0.839972632374732
ENST00000343813.5	ICMT	1	5	6285139	6295971	855	5.91936367699e-06	1.10390740292e-05	8.0269028025e-07	32	29	0	35.726140157	73.3458419966	9.71694720177	0.386469793663433	2.53268763930856	3.08783872777524	0.95914542813838
ENST00000377828.1	ESPN	1	13	6485015	6520206	2565	2.56074610225e-05	4.32981839414e-05	1.56471622657e-06	119	283	7	157.80246898	277.236445244	16.2221205173	1.9149270572507	-0.169310972065121	2.26812328913441	0.00255384128821556
ENST00000378191.4	AJAP1	1	5	4715485	4834559	1236	9.26719700886e-06	1.82816989393e-05	8.61976080673e-07	80	154	0	100.609803638	197.019595276	11.3702451342	1.27380536154638	1.49909142857624	3.34021713615087	0.977592766896285
ENST00000377674.4	ZBTB48	1	10	6640669	6649272	2067	1.07559746294e-05	2.38202557508e-05	1.53226378515e-06	135	213	4	123.806893342	267.942075933	20.9277637745	-0.623630700329215	1.6417277505288	3.66545503166569	0.680198376469515
ENST00000377782.3	TNFRSF25	1	10	6521493	6526167	1281	9.16815547552e-06	1.85517452482e-05	1.19949421318e-06	70	126	3	82.4580129592	166.188022736	13.9564090442	0.850514592019361	1.52480046916964	2.9051668787497	0.448738853101197
ENST00000333172.6	TAS1R1	1	6	6615433	6639644	2526	1.28161727971e-05	2.7030855023e-05	1.29329972549e-06	142	299	14	142.942932367	299.781277419	16.6267417701	0.0488915489017952	0.0220715080278422	0.638121658637757	7.9136002871651e-09
ENST00000378156.4	NPHP4	1	29	5923324	6046349	4281	2.86100630456e-05	5.71503739149e-05	3.78192011116e-06	310	632	33	281.451094757	549.454507249	45.1249959786	-1.05496327794626	-1.72243934266033	1.78798017941689	1.29374352876183e-17
ENST00000234875.4	RPL22	1	4	6246731	6259633	387	1.79380336951e-06	4.06091957992e-06	2.87835990775e-07	13	10	1	20.1177877224	43.1236673482	4.24815474888	0.983794720325226	2.46715839622861	1.56108386230472	0.348492156430072
ENST00000377939.4	RNF207	1	17	6266595	6279467	1905	1.51182368493e-05	2.82427475984e-05	2.00919504243e-06	95	220	12	122.450814016	221.525359391	21.7449795088	1.53788427212725	0.050128930618693	2.07009908826424	5.19011202351337e-06
ENST00000377898.3	HES3	1	3	6304425	6305567	561	5.50895333319e-06	1.01627388458e-05	3.09343114583e-07	26	36	1	35.4386734753	68.5691394049	3.37916478296	0.982927668034783	1.92379320715684	1.2820635222771	0.268868568223653
ENST00000262450.3	CHD5	1	41	6166339	6240083	5865	3.80927551927e-05	7.43369036245e-05	5.00577067227e-06	392	428	3	406.838207292	778.332615556	65.6700782763	0.456057717043761	6.1420649400173	7.66065975856532	0.999999995117076
ENST00000377648.4	PHF13	1	4	6674126	6681697	903	5.37038642818e-06	1.17776779214e-05	5.90795752352e-07	78	84	0	61.6978554449	133.955820646	8.24800504376	-1.28664586707968	2.11116221228249	2.84488130047876	0.931111283002542
ENST00000054650.4	THAP3	1	5	6685278	6693137	720	4.03711392018e-06	9.57092814789e-06	5.11780784469e-07	44	78	5	40.9019230782	93.9282975023	6.95224317577	-0.300310279044368	0.803873429824803	0.733434186796896	0.00148422474585026
ENST00000377855.2	ACOT7	1	9	6324656	6445726	1143	7.85021355043e-06	1.61295816024e-05	8.97130530978e-07	86	105	3	88.5309118511	178.564875317	13.2179379969	0.166754934195337	2.69270687636144	2.7840120061461	0.381517901841213
ENST00000377834.4	HES2	1	4	6478932	6479880	522	5.8057238233e-06	1.05641405393e-05	4.24190439855e-07	14	19	2	27.1530383773	48.3129272205	3.69502204451	1.56482719740236	2.06273768884279	0.87348718283046	0.0670466550651167
ENST00000377893.2	GPR153	1	5	6309397	6314965	1830	1.81771908097e-05	3.30888976493e-05	8.05780542202e-07	75	158	6	89.5584871122	184.882490386	7.93055692071	0.953701447937459	0.967026072193872	0.679079255550337	0.000377954117161823
ENST00000054666.6	VAMP3	1	5	7831443	7839705	303	1.5227573288e-06	3.34603033617e-06	4.79034696563e-07	22	36	3	18.3040728226	37.9905867498	7.0997275415	-0.535549198266734	0.157964784118067	1.52413649928067	0.0542630674689049
ENST00000471889.1	SLC45A1	1	8	8384389	8404073	2247	1.80532827523e-05	3.13994114991e-05	1.43172740221e-06	185	275	6	207.900241	359.1146638	19.57454256	0.984603241217563	2.17105950116641	3.0392686163126	0.0451892558909179
ENST00000377436.3	CA6	1	8	9005945	9034503	942	4.91440011387e-06	1.00074808409e-05	7.02740604266e-07	52	109	5	55.1534960012	107.195964181	10.6115421617	0.263242347566674	-0.0852243493723021	1.70640707031981	0.00802362076493995
ENST00000377577.5	DNAJC11	1	16	6695734	6761860	1680	8.57418552668e-06	1.88066972869e-05	2.04403018307e-06	104	152	0	99.3788480897	211.354042642	29.1892942866	-0.287377334146731	1.99692245606189	5.35181951142082	0.999970790294974
ENST00000377346.4	PIK3CD	1	22	9770513	9787104	3135	2.0094848153e-05	4.13636986637e-05	2.61556384864e-06	211	205	1	220.894042815	447.708090483	35.2577993697	0.412695178654196	5.61052255870579	5.7150698282275	0.999984294919708
ENST00000234590.4	ENO1	1	11	8921418	8934967	1305	6.63544155764e-06	1.36349834747e-05	1.0016878179e-06	69	136	6	78.7683310477	156.677505733	15.5677000814	0.682329209295962	0.807999597619141	2.40206637125382	0.0103734127326719
ENST00000302692.6	SLC25A33	1	7	9599750	9642559	966	4.37511787246e-06	1.03198171835e-05	7.07577701516e-07	46	79	2	42.394382991	103.689352615	9.5972934004	-0.343301155675559	1.18593204419702	2.42926124130179	0.451158319130907
ENST00000377482.5	ERRFI1	1	3	8073269	8075679	1389	5.31243644227e-06	1.28425785759e-05	8.51571387946e-07	67	145	4	61.448297	146.7663913	10.90577028	-0.439056609515985	0.0713168519627497	2.071446262659	0.046551582399882
ENST00000377424.4	SLC2A5	1	12	9097644	9129595	1506	1.08697100366e-05	1.90357286322e-05	1.13784104542e-06	82	154	9	107.080716612	189.595085241	15.138328082	1.50256583868839	1.2644251439759	1.56279075187993	5.67732629021242e-05
ENST00000377411.4	GPR157	1	4	9164477	9189086	1008	9.44628395452e-06	1.64046286815e-05	5.90298553681e-07	58	135	7	85.8455537184	148.681808142	7.01518104344	1.86314381197485	0.54882119596475	0.00567769148025719	2.63491769393547e-05
ENST00000054668.5	UTS2	1	5	7907825	7913491	420	1.71374355797e-06	4.09678564518e-06	3.27952772807e-07	16	46	2	21.3557357403	48.159782083	5.71072318796	0.718474829365411	0.15222421260614	1.53816423142941	0.151041459001058
ENST00000400906.1	SLC2A7	1	12	9063358	9086404	1539	1.05324012825e-05	1.96786905829e-05	1.21292212602e-06	124	215	22	106.989847867	193.637983473	16.239030631	-1.0195009973844	-0.750867109078218	-1.41613667943545	2.99498303352468e-17
ENST00000340381.6	TMEM201	1	11	9648988	9673141	2001	1.5314904666e-05	2.90142421765e-05	1.40905542205e-06	84	147	1	87.8930170181	164.212796843	10.1638266477	0.25742984657604	0.656998615634409	2.84733088474025	0.841903867149445
ENST00000377507.3	TNFRSF9	1	7	7980894	8000054	768	3.50722039849e-06	7.77154056178e-06	7.9600802029e-07	42	97	3	41.2051797977	88.1579116149	11.6282156233	-0.0767613053755768	-0.460617820126914	2.50642169949531	0.253050500972917
ENST00000303635.7	CAMTA1	1	23	6845590	7826551	5022	3.04959387247e-05	6.03972731825e-05	3.84392197969e-06	271	483	1	346.084409811	674.149411086	50.9381051574	2.50212001715876	3.60090226608337	6.93107141505913	0.999999955418418
ENST00000493678.1	PARK7	1	6	8022845	8045114	570	2.32335338017e-06	5.74003253055e-06	4.32441982651e-07	30	70	0	28.4588016281	66.8890122789	7.2891806116	-0.179101893485792	-0.186053424412106	2.6744166053656	0.903949397411231
ENST00000361923.2	PER3	1	21	7844937	7902815	3606	1.82299835437e-05	3.80046517353e-05	2.70839716012e-06	227	478	22	211.443877167	431.412719811	38.8305738464	-0.663212367904218	-1.09707806357655	2.67548004343798	2.19067741322434e-10
ENST00000377403.2	H6PD	1	4	9304993	9324928	2376	1.47367702975e-05	3.08254899518e-05	1.35293395409e-06	172	373	9	165.888163067	345.287515828	16.7584416128	-0.294178412985382	-0.729460394252926	1.87735929939077	0.000111404418020294
ENST00000328089.6	SPSB1	1	2	9415950	9427634	822	5.75559661707e-06	1.14403548697e-05	6.41087689259e-07	71	60	1	66.05031	130.459799	8.10184981	-0.377563545157075	3.01730717603227	2.47154810654618	0.709596082305861
ENST00000337907.3	RERE	1	22	8415146	8716356	4701	2.83001076724e-05	5.92226258384e-05	3.53022843234e-06	322	452	3	303.617994563	636.243814589	47.5123732979	-0.65400114424666	3.57270822236546	6.3968636449056	0.999995655258253
ENST00000356607.4	PEX14	1	9	10535023	10690044	1134	7.68396166829e-06	1.37263086316e-05	1.17219271318e-06	77	113	3	84.6094111991	149.071030678	15.9779595895	0.512850878585924	1.44503397041698	3.21614442867242	0.634568377657546
ENST00000377298.4	CLSTN1	1	19	9790565	9883791	2946	1.99199689195e-05	3.70155485524e-05	2.32863280618e-06	219	354	6	216.996024812	400.034302696	32.246757334	-0.0843376209114355	1.1257692964371	4.57849071524294	0.844214450133216
ENST00000400900.2	APITD1-CORT	1	5	10490574	10511652	495	2.3081647417e-06	5.24615836171e-06	6.01905997243e-07	24	68	4	23.0865682217	51.148296102	6.77342449892	-0.117854192783929	-1.15250970172988	1.05560590543057	0.00852090111528864
ENST00000377038.3	DFFA	1	6	10521546	10532515	996	5.19154668983e-06	1.09437154637e-05	6.9606356953e-07	44	114	7	61.335883	126.50915	10.40112403	1.37226523775911	0.543982567123261	1.04465277371145	0.00021837065189826
ENST00000240185.3	TARDBP	1	5	11073784	11082711	1245	5.21634620398e-06	1.19907027333e-05	8.54617771029e-07	57	34	0	61.197774	137.9526345	11.77848033	0.332659791286637	4.32899286557234	3.39965085592477	0.980707836590808
ENST00000376936.4	EXOSC10	1	25	11126774	11159888	2658	1.21622515579e-05	2.73799578159e-05	2.96124139615e-06	150	296	19	146.199270221	315.158647721	43.3050898807	-0.194867940431773	0.527856246970329	3.65862092316142	1.65795367368417e-07
ENST00000377223.1	LZIC	1	6	9990456	9996677	573	1.48618616108e-06	3.98360436442e-06	4.47611800909e-07	15	43	5	19.0949403616	47.08543881	7.49520768126	0.580948781048367	0.29121380541692	0.902827038454022	0.00197924734359642
ENST00000377049.3	CORT	1	2	10510280	10511652	318	1.98427731896e-06	4.05243431861e-06	2.59640493335e-07	20	54	3	21.6063789123	42.43205996	3.50891760264	0.214243040421795	-0.868611166550261	0.269122860675502	0.0098377909618654
ENST00000376957.2	SRM	1	8	11114921	11120000	909	7.00132696932e-06	1.26933219494e-05	7.86302468015e-07	62	49	1	70.3056060617	124.040317132	10.7683105087	0.614081474584462	3.29556289951081	2.94873248432523	0.869848472217591
ENST00000270776.8	PGD	1	13	10459174	10479806	1452	7.50576270545e-06	1.52646575049e-05	1.23934540608e-06	91	147	2	89.5403391745	176.678679138	19.2649582535	-0.0956294743094454	1.09211720969121	3.89646878716073	0.968660462332331
